Switching to manual mode
Spinning up fans...
Collecting RPM information:
0 254 8280
1 254 7500
0 253 8220
1 253 7440
0 252 8220
1 252 7380
0 251 8160
1 251 7320
0 250 8160
1 250 7320
0 249 8160
1 249 7320
0 248 8100
1 248 7320
0 247 8100
1 247 7260
0 246 8100
1 246 7200
0 245 8040
1 245 7200
0 244 8040
1 244 7200
0 243 8040
1 243 7140
0 242 7980
1 242 7140
0 241 7920
1 241 7140
0 240 7980
1 240 7080
0 239 7920
1 239 7080
0 238 7920
1 238 7020
0 237 7860
1 237 7020
0 236 7860
1 236 6960
0 235 7860
1 235 6960
0 234 7800
1 234 6900
0 233 7800
1 233 6900
0 232 7740
1 232 6900
0 231 7740
1 231 6900
0 230 7740
1 230 6840
0 229 7740
1 229 6780
0 228 7680
1 228 6780
0 227 7680
1 227 6780
0 226 7680
1 226 6720
0 225 7620
1 225 6720
0 224 7620
1 224 6660
0 223 7560
1 223 6660
0 222 7560
1 222 6600
0 221 7560
1 221 6660
0 220 7500
1 220 6600
0 219 7440
1 219 6540
0 218 7440
1 218 6480
0 217 7440
1 217 6480
0 216 7440
1 216 6480
0 215 7380
1 215 6420
0 214 7320
1 214 6360
0 213 7320
1 213 6420
0 212 7320
1 212 6360
0 211 7260
1 211 6360
0 210 7260
1 210 6240
0 209 7260
1 209 6240
0 208 7260
1 208 6240
0 207 7200
1 207 6240
0 206 7200
1 206 6180
0 205 7200
1 205 6120
0 204 7140
1 204 6180
0 203 7140
1 203 6120
0 202 7140
1 202 6060
0 201 7020
1 201 6060
0 200 7020
1 200 6000
0 199 7020
1 199 6000
0 198 6960
1 198 6000
0 197 6960
1 197 5940
0 196 6960
1 196 5880
0 195 6900
1 195 5880
0 194 6900
1 194 5880
0 193 6840
1 193 5820
0 192 6840
1 192 5820
0 191 6840
1 191 5820
0 190 6780
1 190 5760
0 189 6720
1 189 5760
0 188 6780
1 188 5700
0 187 6720
1 187 5640
0 186 6660
1 186 5640
0 185 6660
1 185 5580
0 184 6600
1 184 5580
0 183 6660
1 183 5520
0 182 6540
1 182 5520
0 181 6540
1 181 5460
0 180 6540
1 180 5460
0 179 6540
1 179 5460
0 178 6420
1 178 5400
0 177 6420
1 177 5340
0 176 6420
1 176 5400
0 175 6420
1 175 5340
0 174 6420
1 174 5280
0 173 6300
1 173 5220
0 172 6300
1 172 5220
0 171 6300
1 171 5160
0 170 6240
1 170 5160
0 169 6240
1 169 5160
0 168 6240
1 168 5100
0 167 6180
1 167 5040
0 166 6180
1 166 5040
0 165 6120
1 165 5040
0 164 6120
1 164 4980
0 163 6060
1 163 4920
0 162 6000
1 162 4920
0 161 6000
1 161 4860
0 160 6000
1 160 4860
0 159 5940
1 159 4800
0 158 5940
1 158 4800
0 157 5880
1 157 4800
0 156 5880
1 156 4740
0 155 5880
1 155 4680
0 154 5760
1 154 4620
0 153 5820
1 153 4620
0 152 5760
1 152 4560
0 151 5760
1 151 4560
0 150 5700
1 150 4500
0 149 5640
1 149 4440
0 148 5640
1 148 4440
0 147 5580
1 147 4440
0 146 5580
1 146 4380
0 145 5580
1 145 4320
0 144 5520
1 144 4320
0 143 5520
1 143 4260
0 142 5460
1 142 4260
0 141 5460
1 141 4200
0 140 5400
1 140 4140
0 139 5400
1 139 4140
0 138 5340
1 138 4140
0 137 5340
1 137 4080
0 136 5280
1 136 4020
0 135 5220
1 135 3960
0 134 5220
1 134 3960
0 133 5160
1 133 3960
0 132 5160
1 132 3900
0 131 5160
1 131 3840
0 130 5100
1 130 3780
0 129 5100
1 129 3780
0 128 5040
1 128 3780
0 127 4980
1 127 3720
0 126 4980
1 126 3660
0 125 4920
1 125 3660
0 124 4920
1 124 3600
0 123 4860
1 123 3600
0 122 4860
1 122 3540
0 121 4800
1 121 3480
0 120 4800
1 120 3480
0 119 4800
1 119 3420
0 118 4740
1 118 3360
0 117 4680
1 117 3300
0 116 4620
1 116 3300
0 115 4620
1 115 3240
0 114 4620
1 114 3240
0 113 4560
1 113 3180
0 112 4500
1 112 3120
0 111 4500
1 111 3120
0 110 4500
1 110 3060
0 109 4440
1 109 3000
0 108 4380
1 108 3000
0 107 4320
1 107 2940
0 106 4320
1 106 2880
0 105 4320
1 105 2880
0 104 4260
1 104 2820
0 103 4200
1 103 2760
0 102 4200
1 102 2760
0 101 4140
1 101 2700
0 100 4140
1 100 2640
0 99 4080
1 99 2580
0 98 4020
1 98 2580
0 97 4020
1 97 2520
0 96 3960
1 96 2520
0 95 3960
1 95 2460
0 94 3900
1 94 2400
0 93 3840
1 93 2340
0 92 3840
1 92 2340
0 91 3780
1 91 2280
0 90 3780
1 90 2220
0 89 3720
1 89 2160
0 88 3720
1 88 2160
0 87 3660
1 87 2100
0 86 3600
1 86 2040
0 85 3600
1 85 1980
0 84 3540
1 84 1920
0 83 3540
1 83 1920
0 82 3480
1 82 1860
0 81 3420
1 81 1800
0 80 3360
1 80 1740
0 79 3300
1 79 1680
0 78 3300
1 78 1680
0 77 3300
1 77 1620
0 76 3240
1 76 1560
0 75 3180
1 75 1500
0 74 3180
1 74 1500
0 73 3120
1 73 1440
0 72 3060
1 72 1380
0 71 3060
1 71 1320
0 70 3000
1 70 1260
0 69 3000
1 69 1260
0 68 2940
1 68 1200
0 67 2880
1 67 1140
0 66 2820
1 66 1080
0 65 2760
1 65 960
0 64 2760
1 64 960
0 63 2700
1 63 900
0 62 2640
1 62 840
0 61 2580
1 61 780
0 60 2580
1 60 780
0 59 2580
1 59 720
0 58 2520
1 58 660
0 57 2460
1 57 600
0 56 2400
1 56 540
0 55 2400
1 55 0
0 54 2340
1 54 0
0 53 2280
1 53 0
0 52 2220
1 52 0
0 51 2220
1 51 0
0 50 2160
1 50 0
0 49 2100
1 49 0
0 48 2040
1 48 0
0 47 1980
1 47 0
0 46 1980
1 46 0
0 45 1920
1 45 0
0 44 1860
1 44 0
0 43 1800
1 43 0
0 42 1740
1 42 0
0 41 1740
1 41 0
0 40 1680
1 40 0
0 39 1620
1 39 0
